Assignment Start Date cannot be earlier than Academic Term start date {0}.,الإسناد تاريخ البدء لا يمكن أن يكون أسبق من الفصل الدراسي البداية التاريخ {0}.
Assignment Start Date cannot be earlier than Academic Year start date {0}.,الإسناد تاريخ البدء لا يمكن أن يكون أسبق من العام الدراسي البداية التاريخ {0}.
Assignment Start Date cannot be later than Academic Term end date {0}.,الإسناد تاريخ البدء لا يمكن أن يكون أبعد من الفصل الدراسي النهاية التاريخ {0}.
Assignment Start Date cannot be later than Academic Year end date {0}.,الإسناد تاريخ البدء لا يمكن أن يكون أبعد من العام الدراسي النهاية التاريخ {0}.
Assignment Status,حالة الإسناد
Assignment Type,نوع الإسناد
Assignment Type must be one of: {0}.,نوع الإسناد يجب أن يكون واحد لـ: {0}.
Assignment Without Teacher,إسناد دون معلم
Assignments,الإسنادات
Assistant Mentor,المعلم المساعد
At least one Evaluation Item is required.,يجب إضافة بند تقييم واحد على الأقل.
At least one New Memorization or Revision range is required.,يجب إضافة نطاق واحد على الأقل للحفظ الجديد أو المراجعة.
At least one Supervision Item is required.,على الأقل واحد بند الإشراف هو مطلوب.
Attendance,الحضور
Attendance Date,تاريخ الحضور
Attendance Grace Days,أيام مهلة الحضور
"Attendance Item, row {0}: {1}",بند الحضور، الصف {0}: {1}
Attendance Items,سجلات حضور الطلاب
Attendance Rate,نسبة الحضور
Attendance Records,سجلات الحضور
Attendance Status,حالة الحضور
"Attendance Status must be Present, Absent, Late, or Excused.",حالة الحضور يجب أن يكون حاضر، غائب، متأخر، أو بعذر.
Attendance already exists for Session {0}.,يوجد سجل حضور مسبق للجلسة {0}.
Attendance cannot be recorded for a Cancelled Session.,الحضور لا يمكن أن يكون مسجلة لـ ملغى الجلسة.
Availability and Preferences,الأوقات والتفضيلات
Ayah Count,عدد الآيات
Ayah Count must be greater than zero.,عدد الآيات يجب أن يكون أكبر من الصفر.
Ayah range cannot exceed the Surah Ayah Count of {0}.,الآية النطاق لا يمكن يتجاوز الـ السورة عدد الآيات لـ {0}.
B+,B+
B-,B-
Basic Information,المعلومات الأساسية
Beginner,مبتدئ
Behavior,السلوك
Blood Group,فصيلة الدم
Branch,الفرع
Branch Code,رمز الفرع
Branch Code cannot contain spaces.,رمز الفرع لا يمكن يحتوي مسافات.
"Branch Code may contain only letters, numbers, hyphens, and underscores.",رمز الفرع قد يحتوي فقط حروف، أرقام، شرطات، و شرطات سفلية.
Branch Code {0} is already used by branch {1}.,رمز الفرع {0} هو بالفعل مستخدم بواسطة الفرع {1}.
Branch Manager,مدير الفرع
Branch Name,اسم الفرع
Branch Name {0} already exists.,اسم الفرع {0} بالفعل موجود.
Branch Status,حالة الفرع
Branch does not exist.,الفرع المحدد غير موجود.
Branch is required.,الفرع حقل إلزامي.
Branch relationship,الفرع العلاقة
Branch {0} does not exist.,الفرع {0} لا موجوداً.
Branch {0} must be Active. Current status: {1}.,الفرع {0} يجب أن يكون نشط. الحالة الحالية: {1}.
Branches,الفروع
Can Attend Weekly,يمكنه الحضور أسبوعياً
Cancelled,ملغى
Capacity,الطاقة الاستيعابية
Capacity Utilization,نسبة إشغال الطاقة الاستيعابية
Capacity and Level,السعة والمستوى
Capacity and operation,السعة والتشغيل
Capacity cannot be negative.,لا يجوز أن تكون الطاقة الاستيعابية قيمة سالبة.
Category,فئة
Certificate File,ملف الشهادة
Certificate Number,رقم الشهادة
Chair,الرئيس
City,مدينة
Classroom,فصل دراسي
Closed,مغلق
Closed On,مغلق في
Closed On is required when the Halaqa is Closed.,مغلق في هو مطلوب عندما الـ الحلقة هو مغلق.
Closing Date cannot be before Opening Date.,تاريخ الإغلاق لا يمكن أن يكون قبل تاريخ الافتتاح.
Closure Reason,سبب الإغلاق
Committee Chair,رئيس اللجنة
Committee Member,عضو اللجنة
Committee Notes,ملاحظات اللجنة
Committee members must be unique.,اللجنة الأعضاء يجب أن يكون فريدين.
Community Center,مجتمعي مركز
Completed,مكتمل
Completed Ayahs,الآيات المكتملة
Completed Pages,الصفحات المكتملة
Completed Progress,التقدم المكتمل
Completed Session {0} is missing attendance.,مكتمل الجلسة {0} هو يفتقد الحضور.
Completed Sessions,الجلسات المكتملة
Condition cleared automatically by exception detection.,الشرط أزيل تلقائياً بواسطة الاستثناء الاكتشاف.
Configuration,الإعدادات
Configuration section,قسم الإعدادات
Connected Sanad Text,نص السند المتصل
Connected Sanad Text is required before issuance.,نص السند المتصل هو مطلوب قبل الإصدار.
Contact Information,بيانات التواصل
Contact Number,رقم الاتصال
Contact Person,الشخص الذي يمكن الاتصال به
Contact and Family,الاتصال والأسرة
Contact and Qualifications,الاتصال والمؤهلات
Corrective Action,اجراء تصحيحي
Corrective Action is required when follow-up is required.,الإجراء التصحيحي هو مطلوب عندما المتابعة هو مطلوب.
Count,العدد
Country,الدولة
Critical,حرجة
Current Ayah,الآية الحالية
Current Ayah cannot exceed {0} for the selected Surah.,الآية الحالية لا يمكن يتجاوز {0} لـ الـ المحدد السورة.
Current Ayah is required.,الآية الحالية هو مطلوب.
Current Ayah must be greater than zero.,الآية الحالية يجب أن يكون أكبر من الصفر.
Current Juz Level,مستوى الجزء الحالي
Current Occupation,المهنة الحالية
Current Page,الصفحة الحالية
Current Page cannot be before page {0} for the selected Surah.,الصفحة الحالية لا يمكن أن يكون قبل صفحة {0} لـ الـ المحدد السورة.
Current Page cannot exceed page {0} for the selected Surah.,الصفحة الحالية لا يمكن يتجاوز صفحة {0} لـ الـ المحدد السورة.
Current Page is required.,الصفحة الحالية هو مطلوب.
Current Quran Status,مستوى المتقدم في القرآن الكريم
Current Riwayah,الرواية التي يقرأ بها المتقدم
Current Students,عدد الطلاب الحالي
Current Students cannot be negative.,الطلاب الحاليون لا يمكن أن يكون سالبة.
Current Students cannot exceed Maximum Students.,لا يمكن أن يتجاوز عدد الطلاب الحالي الطاقة الاستيعابية القصوى.
Current Surah,السورة الحالية
Current Surah is required.,السورة الحالية هو مطلوب.
Current and Previous Quran Level,وصف المستوى القرآني الحالي والخبرات السابقة
Daily Operations,العمليات اليومية
Dar Quraan,دار القرآن
Dar Quraan Academic Term,الفصل الدراسي
Dar Quraan Academic Year,العام الدراسي
Dar Quraan Admission Application,طلب القبول
Dar Quraan Admission Update,تحديث القبول
Dar Quraan Attendance,الحضور
Dar Quraan Attendance Item,بند الحضور
Dar Quraan Branch,الفرع
Dar Quraan Branch Analytics,تحليلات الفروع
Dar Quraan Data Entry,مدخل البيانات
Dar Quraan Discipline Incident,مخالفة سلوكية
Dar Quraan Discipline Rule,قاعدة انضباط
Dar Quraan Error Rule,قاعدة الأخطاء
Dar Quraan Evaluation,التقييم
Dar Quraan Evaluation Item,بند التقييم
Dar Quraan Exam,الاختبار
Dar Quraan Exam Committee Member,عضو لجنة الاختبار
Dar Quraan Exam Error,خطأ الاختبار
Dar Quraan Exam Question,سؤال الاختبار
Dar Quraan Exception,الاستثناء
Dar Quraan Halaqa,الحلقة
Dar Quraan Halaqa Analytics,تحليلات الحلقات
Dar Quraan Ijazah,الإجازة
Dar Quraan Juz Level,مستوى الجزء
Dar Quraan Manager,المدير
Dar Quraan Next Assignment,الإسناد التالي
Dar Quraan Program,البرنامج
Dar Quraan Program Milestone,مرحلة البرنامج
Dar Quraan Progress Item,بند التقدم
Dar Quraan Quran Range,نطاق القرآن
Dar Quraan Session,الجلسة
Dar Quraan Settings,الإعدادات
Dar Quraan Student,الطالب
Dar Quraan Student Analytics,تحليلات الطلاب
Dar Quraan Student Assignment,إسناد الطالب
Dar Quraan Student Progress,تقدم الطالب
Dar Quraan Student Quran State,حالة الطالب القرآنية
Dar Quraan Student Weekly Slot,موعد الطالب الأسبوعي
Dar Quraan Supervision Item,بند الإشراف
Dar Quraan Supervision Visit,زيارة الإشراف
Dar Quraan Supervisor,المشرف
Dar Quraan Surah,السورة
Dar Quraan Teacher,المعلم
Dar Quraan Teacher Analytics,تحليلات المعلمين
Dar Quraan Teacher Follow Up,متابعة المعلم
Dar Quraan Teaching Location,موقع التدريس
Dar Quraan Text Progress,تقدم المتن
Dar Quraan Viewer,مستخدم دار القرآن للعرض فقط
Dar Quraan exceptions detected,دار القرآن الاستثناءات مكتشفة
Date of Birth,تاريخ الميلاد
Date of Birth cannot be in the future.,لا يمكن أن يكون تاريخ الميلاد في المستقبل.
Date of Birth must be before today.,تاريخ الميلاد يجب أن يكون قبل اليوم.
Dates section,قسم التواريخ
Day of Week,يوم من الأسبوع
Deceased,متوفى
Decision Date,تاريخ القرار
Deduction Each,الخصم كل
Deduction must be greater than zero.,الخصم يجب أن يكون أكبر من الصفر.
Deduction per Occurrence,الخصم لكل تكرار
Default Action,الإجراء الافتراضي
Default Branch,الفرع الافتراضي
Default Halaqa,الحلقة الافتراضية
"Default Halaqa belongs to Branch {0}, not the selected Default Branch {1}.",الحلقة الافتراضية يتبع إلى الفرع {0}، لا الـ المحدد الفرع الافتراضي {1}.
"Default Halaqa mentor is {0}, not the selected Default Teacher {1}.",الحلقة الافتراضية المعلم هو {0}، لا الـ المحدد المعلم الافتراضي {1}.
Default Teacher,المعلم الافتراضي
Description,وصف
Description section,قسم الوصف
Detected On,تاريخ الرصد
Disabled,معطل
Disabled students cannot be assigned.,معطّل الطلاب لا يمكن أن يكون مسند.
Discipline Rule,قاعدة الانضباط
Dismissal,فصل
Display Order,ترتيب العرض
Display Order must be greater than zero.,العرض الترتيب يجب أن يكون أكبر من الصفر.
Display Order {0} is already assigned to Juz Level {1}.,العرض الترتيب {0} هو بالفعل مسند إلى مستوى الجزء {1}.
Divorced,مطلق
Documents,وثائق
Draft,مسودة
Due Date,تاريخ الاستحقاق
Due Date is required when follow-up is required.,تاريخ الاستحقاق هو مطلوب عندما المتابعة هو مطلوب.
Duplicate Key,مكرر المفتاح
Duration Minutes,المدة بالدقائق
Each student must receive at least 30 minutes per week.,كل الطالب يجب يحصل على الأقل 30 دقيقة لكل أسبوع.
Earned Score,الدرجة المحصّلة
Education Level,التحصيل العلمي
Education and Employment,المؤهلات العلمية والمهنية
Effective From,ساري من
Effective From cannot be earlier than the assignment Start Date.,ساري من لا يمكن أن يكون أسبق من الـ الإسناد تاريخ البدء.
Effective To,ساري إلى
Effective To cannot be before Effective From.,ساري إلى لا يمكن أن يكون قبل ساري من.
Effective To cannot be earlier than Effective From.,ساري إلى لا يمكن أن يكون أسبق من ساري من.
Effective To cannot be later than the assignment End Date.,ساري إلى لا يمكن أن يكون أبعد من الـ الإسناد تاريخ الانتهاء.
Email,البريد الإلكتروني
Emergency Contact Name,الطوارئ اسم الاتصال
Emergency Contact Number,رقم اتصال الطوارئ
Employer,جهة العمل
Enable Email Notifications,تمكين إشعارات البريد الإلكتروني
Enable Exception Detection,تفعيل اكتشاف الاستثناءات
End Date,تاريخ الانتهاء
End Date cannot be after the Academic Term ends.,تاريخ الانتهاء لا يمكن أن يكون بعد الـ الفصل الدراسي ينتهي.
End Date cannot be earlier than Start Date.,تاريخ الانتهاء لا يمكن أن يكون أسبق من تاريخ البدء.
End Date is required for a Completed assignment.,تاريخ الانتهاء هو مطلوب لـ مكتمل الإسناد.
End Date must be later than Start Date.,تاريخ الانتهاء يجب أن يكون أبعد من تاريخ البدء.
End Juz,جزء النهاية
End Juz cannot be before Start Juz.,جزء النهاية لا يمكن أن يكون قبل جزء البداية.
End Juz must be between 1 and 30.,جزء النهاية يجب أن يكون بين 1 و 30.
End Page,صفحة النهاية
End Page cannot be before Start Page.,صفحة النهاية لا يمكن أن يكون قبل صفحة البداية.
End Page must be between 1 and 604.,صفحة النهاية يجب أن يكون بين 1 و 604.
End Time,وقت الانتهاء
End Time is required when Start Time is set.,وقت الانتهاء هو مطلوب عندما وقت البدء هو تعيين.
Ended,منتهٍ
English Name,الاسم بالإنجليزية
Enter at least a City or Address for a physical teaching location.,أدخل على الأقل المدينة أو العنوان لـ فعلي التدريس الموقع.
Error Count must be greater than zero.,عدد الأخطاء يجب أن يكون أكبر من الصفر.
Error Rule,قاعدة الأخطاء
Error Rule {0} is missing or inactive.,قاعدة الأخطاء {0} هو يفتقد أو غير نشط.
Error count exceeds the rule maximum.,الخطأ العدد يتجاوز الـ القاعدة الحد الأقصى.
Evaluation,التقييم
Evaluation Date,تاريخ التقييم
Evaluation Date is required.,تاريخ التقييم حقل إلزامي.
"Evaluation Item, row {0}: {1}",بند التقييم، الصف {0}: {1}
Evaluation Items,بنود التقييم
Evaluation Overdue Days,أيام تأخر التقييم
Evaluation Type,نوع التقييم
Evaluation Type is required.,نوع التقييم هو مطلوب.
Evaluation does not have a Student Assignment.,التقييم لا لديه إسناد الطالب.
Evaluations,التقييمات التعليمية
Evaluator Notes,ملاحظات المقيّم
Exam Date,الاختبار التاريخ
Exam Questions,أسئلة الاختبار
Exam Required,الاختبار مطلوب
Exam Type,الاختبار النوع
Examiner,ممتحن
Examiner Teacher,المعلم الممتحن
Excellent,ممتاز
Exception Message is required.,الاستثناء الرسالة هو مطلوب.
Exception Type,نوع الاستثناء
Excuse Reason,سبب العذر
Excuse Reason is required when Attendance Status is Excused.,سبب العذر هو مطلوب عندما حالة الحضور هو بعذر.
Excused,بعذر
Excused Count,عدد المعذورين
Expected Start Date,تاريخ البدأ المتوقع
Explanation Status,الشرح الحالة
Extra,إضافي
Facility Use,المرفق استخدم
Failed,باءت بالفشل
Father Number,رقم الأب
Father Occupation,مهنة الأب
Female,أنثى
Fifteen Juz Committee,لجنة خمسة عشر جزءاً
Fifteen Juz Committee Exam,لجنة خمسة عشر جزءاً الاختبار
Final,النهائي
Final 10 Juz,النهائي 10 الجزء
Final 30 Juz,النهائي 30 الجزء
Final Admission,النهائي القبول
Final Approval Date,النهائي الموافقة التاريخ
Final Approved,النهائي معتمد
Final Exam belongs to another Student Assignment.,الاختبار النهائي يتبع إلى آخر إسناد الطالب.
Final Exam does not exist.,الاختبار النهائي لا موجوداً.
Final Ijazah Exam,النهائي الإجازة الاختبار
Final Ijazah exams must allocate 90 marks to memorization/performance and 10 marks to Tajweed theory.,النهائي الإجازة الاختبارات يجب تخصص 90 درجة إلى الحفظ/الأداء و 10 درجة إلى التجويد النظري.
Final Score,الدرجة النهائية
Finalize Admission,إنهاء القبول
Finding,الملاحظة
Finding is required.,الملاحظة هو مطلوب.
First Name,الاسم الأول
Five Juz,خمسة الجزء
Five Juz Exam,خمسة الجزء الاختبار
Five Juz exams are allowed only at completed five-juz milestones.,خمسة الجزء الاختبارات هي مسموحاً فقط على مكتمل الخمسة أجزاء المراحل.
Fluency,الطلاقة
Follow-up,المتابعة
Follow-up Date,تاريخ المتابعة
Follow-up Date is required.,تاريخ المتابعة هو مطلوب.
Follow-up Details,تفاصيل المتابعة
Follow-up Item Count,عدد بنود المتابعة
Follow-up Reminder Days,أيام تذكير المتابعة
Follow-up Reminder Days cannot be negative.,أيام تذكير المتابعة لا يمكن أن يكون سالبة.
Follow-up Required,المتابعة مطلوبة
Follow-up Type,نوع المتابعة
Follow-up Type is required.,نوع المتابعة هو مطلوب.
Friday,الجمعة
From Ayah,من الآية
From Ayah cannot be greater than To Ayah.,من الآية لا يمكن أن يكون أكبر من إلى الآية.
From Ayah cannot exceed {0} for the selected Surah.,من الآية لا يمكن يتجاوز {0} لـ الـ المحدد السورة.
From Ayah must be greater than zero.,من الآية يجب أن يكون أكبر من الصفر.
From Date,من تاريخ
From Date cannot be after To Date.,من تاريخ لا يمكن أن يكون بعد إلى تاريخ.
From Page,من الصفحة
From Page cannot be before page {0} for the selected Surah.,من الصفحة لا يمكن أن يكون قبل صفحة {0} لـ الـ المحدد السورة.
From Page cannot be before the Surah starting page {0}.,من الصفحة لا يمكن أن يكون قبل الـ السورة بداية صفحة {0}.
From Page cannot be greater than To Page.,من الصفحة لا يمكن أن يكون أكبر من إلى الصفحة.
From Page cannot exceed page {0} for the selected Surah.,من الصفحة لا يمكن يتجاوز صفحة {0} لـ الـ المحدد السورة.
From Page must be greater than zero.,من الصفحة يجب أن يكون أكبر من الصفر.
Gender,الجنس
General Academic,عام دراسي
Good,جيد
Google Maps Link,رابط خرائط جوجل
Graduated,متخرج
Grant Date,تاريخ المنح
Granting Sheikh,الشيخ المجيز
Guardian Meeting,اجتماع ولي الأمر
Guardian Notification Date,تاريخ إشعار ولي الأمر
Guardian Notification Date is required.,تاريخ إشعار ولي الأمر هو مطلوب.
Guardian Notified,تم إشعار ولي الأمر
Hafiz,حافظ
Halaqa,الحلقة
Halaqa Capacity,سعة الحلقة
Halaqa Category,الحلقة الفئة
Halaqa Code,رمز الحلقة
"Halaqa Code may contain only uppercase letters, numbers, hyphens and underscores.",رمز الحلقة قد يحتوي فقط كبيرة حروف، أرقام، شرطات و شرطات سفلية.
Halaqa Code {0} already exists.,رمز الحلقة {0} بالفعل موجود.
Halaqa Context,الحلقة السياق
Halaqa Name,اسم الحلقة
Halaqa Over Capacity,الحلقة تجاوز السعة
Halaqa Status,الحلقة الحالة
Halaqa is required.,الحلقة هو مطلوب.
"Halaqa {0} belongs to Academic Term {1}, not {2}.",الحلقة {0} يتبع إلى الفصل الدراسي {1}، لا {2}.
"Halaqa {0} belongs to Academic Year {1}, not {2}.",الحلقة {0} يتبع إلى العام الدراسي {1}، لا {2}.
"Halaqa {0} belongs to Branch {1}, not the selected Branch {2}.",الحلقة {0} يتبع إلى الفرع {1}، لا الـ المحدد الفرع {2}.
Halaqa {0} does not currently allow new student assignments.,الحلقة {0} لا حالياً يسمح الجديد الطالب الإسنادات.
Halaqa {0} does not exist.,الحلقة {0} لا موجوداً.
Halaqa {0} does not have a Branch.,الحلقة {0} لا لديه الفرع.
Halaqa {0} does not have a Mentor.,الحلقة {0} لا لديه المعلم.
Halaqa {0} does not have a Teaching Location.,الحلقة {0} لا لديه موقع التدريس.
Halaqa {0} does not have a {1}.,الحلقة {0} لا لديه {1}.
Halaqa {0} does not have an Academic Term.,الحلقة {0} لا لديه الفصل الدراسي.
Halaqa {0} does not have an Academic Year.,الحلقة {0} لا لديه العام الدراسي.
Halaqa {0} has {1} active assignments for a capacity of {2}.,الحلقة {0} لديه {1} نشط الإسنادات لـ السعة لـ {2}.
"Halaqa {0} is assigned to Teacher {1}, not the selected Teacher {2}.",الحلقة {0} هو مسند إلى المعلم {1}، لا الـ المحدد المعلم {2}.
Halaqa {0} must be Active. Current status: {1}.,الحلقة {0} يجب أن يكون نشط. الحالة الحالية: {1}.
"Halaqa {0} uses Teaching Location {1}, not the selected Teaching Location {2}.",الحلقة {0} يستخدم موقع التدريس {1}، لا الـ المحدد موقع التدريس {2}.
Halaqas,الحلقات
Has Previous Ijazah,حاصل على إجازة سابقة
Has Previous Ijazah must be enabled when Quran Status is Mujaz.,لديه إجازة سابقة يجب أن يكون مفعلاً عندما حالة القرآن هو مجاز.
Hifz,الحفظ
High,مستوى عالي
Home Number,رقم المنزل
Identification,الهوية
Identification section,قسم الهوية
Identity Document,صورة وثيقة الهوية
Identity and Personal Information,الهوية والمعلومات الشخصية
Ifraad,الإفراد
Ijazah,الإجازة
Ijazah Retest,الإجازة إعادة الاختبار
Ijazah requires a completed passing final exam with at least 80%.,الإجازة يتطلب مكتمل ناجح النهائي الاختبار مع على الأقل 80%.
In Process,قيد المراجعة
In Progress,في تَقَدم
Inactive,غير نشط
Incident Date,المخالفة التاريخ
Incident Description,وصف المخالفة
Initial Memorization Description,وصف الحفظ الأولي
Inside Branch Premises,داخل مقر الفرع
Inside Branch Premises must be enabled for Branch and Classroom locations.,داخل مقر الفرع يجب أن يكون مفعلاً لـ الفرع و فصل دراسي المواقع.
Intervention,التدخل
Invalid Evaluation Type.,غير صالح نوع التقييم.
Invalid Exception Status.,غير صالح الاستثناء الحالة.
Invalid Exception Type.,غير صالح نوع الاستثناء.
Invalid Follow-up Type.,غير صالح نوع المتابعة.
Invalid Priority.,غير صالح الأولوية.
Invalid Progress Result.,غير صالح التقدم النتيجة.
Invalid Progress Type in Progress Item row {0}.,غير صالح نوع التقدم في بند التقدم الصف {0}.
Invalid Review Area.,غير صالح المراجعة المنطقة.
Invalid Severity.,غير صالح الخطورة.
Invalid Status.,غير صالح الحالة.
Invalid Supervision Item Status.,غير صالح بند الإشراف الحالة.
Invalid Supervision Visit Status.,غير صالح زيارة الإشراف الحالة.
Invalid Teacher Status.,غير صالح المعلم الحالة.
Invalid Visit Type.,غير صالح نوع الزيارة.
Invalid admission status.,غير صالح القبول الحالة.
Invalid assignment status: {0}.,غير صالح الإسناد الحالة: {0}.
Invalid notification email address: {0},غير صالح الإشعار البريد الإلكتروني العنوان: {0}
Invalid teacher email address.,غير صالح المعلم البريد الإلكتروني العنوان.
Is Current Academic Year,هو العام الدراسي الحالي
Is Current Assignment,هو الإسناد الحالي
Is Current Term,هو الفصل الحالي
Issue Description,وصف المشكلة
Issue Description is required.,وصف المشكلة هو مطلوب.
Issued,نشر
Jam,الجمع
Jazariyyah,الجزرية
Jazariyyah Level,مستوى المتقدم في متن الجزرية
Juz Count,عدد الأجزاء
Juz Count must be between Minimum Juz {0} and Maximum Juz {1}.,عدد الأجزاء يجب أن يكون بين الحد الأدنى للأجزاء {0} و الحد الأقصى للأجزاء {1}.
Juz Level {0} already exists.,مستوى الجزء {0} بالفعل موجود.
Kids,أطفال
Kubra,الكبرى
Last Evaluation,الأخير التقييم
Last Name,اسم العائلة
Last Next Assignment,الأخير الإسناد التالي
Last Notification Status,الأخير الإشعار الحالة
Last Progress,الأخير التقدم
Last Progress Date,الأخير التقدم التاريخ
Last Updated,الأخير التحديث
Late,متأخر
Late Count,عدد المتأخرين
Late Minutes,دقائق التأخر
Late Minutes cannot be negative.,دقائق التأخر لا يمكن أن يكون سالبة.
Late Minutes must be greater than zero when Attendance Status is Late.,دقائق التأخر يجب أن يكون أكبر من الصفر عندما حالة الحضور هو متأخر.
Latest References,أحدث المراجع
Latest Result,الأحدث النتيجة
Latest Score,الأحدث الدرجة
Learning,التعلم
Learning Commitment,الالتزام بالتعلم
Learning Environment,بيئة التعلم
Legacy Assignment ID,معرّف الإسناد القديم
Legacy Assignment ID {0} is already used by Student Assignment {1}.,معرّف الإسناد القديم {0} هو بالفعل مستخدم بواسطة إسناد الطالب {1}.
Legacy Center ID,معرّف المركز القديم
Legacy Created At,تاريخ الإنشاء القديم
Legacy Data,البيانات القديمة
Legacy File Path,مسار الملف القديم
